category,subcategory,definition,question
Data Cataloging and Discovery,Metadata Management,"Technical Metadata,Business Metadata,Operational Metadata,Data dictionary,Business Glossary",Are metadata updates automated from source systems?,,,
Data Cataloging and Discovery,Metadata Management,"Technical Metadata,Business Metadata,Operational Metadata,Data dictionary,Business Glossary",Are data schemas and attributes documented and accessible?,,,
Data Cataloging and Discovery,Metadata Management,"Technical Metadata,Business Metadata,Operational Metadata,Data dictionary,Business Glossary","Is business context attached to key data elements (e.g., KPI definitions)?",,,
Data Cataloging and Discovery,Metadata Management,"Technical Metadata,Business Metadata,Operational Metadata,Data dictionary,Business Glossary",Is there a common glossary of business terms used across departments?,,,
Data Cataloging and Discovery,Metadata Management,"Technical Metadata,Business Metadata,Operational Metadata,Data dictionary,Business Glossary",Is the glossary integrated with data catalog or BI tools?,,,
Data Cataloging and Discovery,Metadata Management,"Technical Metadata,Business Metadata,Operational Metadata,Data dictionary,Business Glossary","Are field names, types, formats, and constraints consistently documented?",,,
Data Cataloging and Discovery,Data Discovery,"Search and QueryAutomated Scanning,Data Profiling,Data Lineage",Can users easily search for data assets across systems using keywords or metadata?,,,
Data Cataloging and Discovery,Data Discovery,"Search and QueryAutomated Scanning,Data Profiling,Data Lineage","Are filters available to refine searches by data type, owner, classification, or system?",,,
Data Cataloging and Discovery,Data Discovery,"Search and QueryAutomated Scanning,Data Profiling,Data Lineage",Is end-to-end lineage captured from source to consumption layer?,,,
Data Cataloging and Discovery,Data Discovery,"Search and QueryAutomated Scanning,Data Profiling,Data Lineage",Are security and privacy rules applied during automated discovery?,,,
Data Cataloging and Discovery,Data Discovery,"Search and QueryAutomated Scanning,Data Profiling,Data Lineage",Are profiling results stored and viewable within the data catalog?,,,
Data Cataloging and Discovery,User Collaboration & Crowdsourcing,"User Ratings and Reviews , Tags and Annotations,Knowledge Sharing",Is there a review/comment system to provide feedback on data sets?,,,
Data Cataloging and Discovery,User Collaboration & Crowdsourcing,"User Ratings and Reviews , Tags and Annotations,Knowledge Sharing","Are there predefined tag categories (e.g., domain, sensitivity, use case)?",,,
Data Cataloging and Discovery,User Collaboration & Crowdsourcing,"User Ratings and Reviews , Tags and Annotations,Knowledge Sharing",Are annotations linked to lineage or quality insights?,,,
Data Cataloging and Discovery,User Collaboration & Crowdsourcing,"User Ratings and Reviews , Tags and Annotations,Knowledge Sharing",Is there a platform or workspace for users to share data usage best practices?,,,
Data Cataloging and Discovery,Search & Semantic Capabilities,"Natural Language Queries,Ontology and Taxonomy Management,AI/ML-driven Recommendations,Contextual Search","Is the search engine context-aware (understands synonyms, business terms, and intent)?",,,
Data Cataloging and Discovery,Search & Semantic Capabilities,"Natural Language Queries,Ontology and Taxonomy Management,AI/ML-driven Recommendations,Contextual Search","Is there a centralized business ontology that maps terms, definitions, and relationships?",,,
Data Cataloging and Discovery,Search & Semantic Capabilities,"Natural Language Queries,Ontology and Taxonomy Management,AI/ML-driven Recommendations,Contextual Search",Does the platform use ML models to improve data search relevance over time?,,,
Data Cataloging and Discovery,Search & Semantic Capabilities,"Natural Language Queries,Ontology and Taxonomy Management,AI/ML-driven Recommendations,Contextual Search","Are taxonomies (e.g., data domains, categories, hierarchies) standardized and maintained?",,,
Data Cataloging and Discovery,Inventory and Ingest Metadata,"Scan and ingest metadata from source systems:Databases,Data lakes,BI tools,APIs","Are all key data sources (databases, data lakes, BI tools, APIs) included in metadata scans?",,,
Data Cataloging and Discovery,Inventory and Ingest Metadata,"Scan and ingest metadata from source systems:Databases,Data lakes,BI tools,APIs",Is metadata ingestion automated and scheduled regularly?,,,
Data Cataloging and Discovery,Inventory and Ingest Metadata,"Scan and ingest metadata from source systems:Databases,Data lakes,BI tools,APIs","Is technical metadata (e.g., schemas, data types, primary/foreign keys) captured accurately?",,,
Data Cataloging and Discovery,Inventory and Ingest Metadata,"Scan and ingest metadata from source systems:Databases,Data lakes,BI tools,APIs","Are there native connectors available for common platforms (e.g., Snowflake, SAP, Tableau)?",,,
