category,subcategory,question,options
Data Cataloging & Discovery,Metadata Management,Are metadata updates automated from source systems?,"0,1,2,3,4,5"
Data Cataloging & Discovery,Metadata Management,Are data schemas and attributes documented and accessible?,"0,1,2,3,4,5"
Data Cataloging & Discovery,Metadata Management,"Is business context attached to key data elements (e.g., KPI definitions)?","0,1,2,3,4,5"
Data Cataloging & Discovery,Metadata Management,Is there a common glossary of business terms used across departments?,"0,1,2,3,4,5"
Data Cataloging & Discovery,Metadata Management,Is the glossary integrated with data catalog or BI tools?,"0,1,2,3,4,5"
Data Cataloging & Discovery,Metadata Management,"Are field names, types, formats, and constraints consistently documented?","0,1,2,3,4,5"
Data Cataloging & Discovery,Data Discovery,Can users easily search for data assets across systems using keywords or metadata?,"0,1,2,3,4,5"
Data Cataloging & Discovery,Data Discovery,"Are filters available to refine searches by data type, owner, classification, or system?","0,1,2,3,4,5"
Data Cataloging & Discovery,Data Discovery,Is end-to-end lineage captured from source to consumption layer?,"0,1,2,3,4,5"
Data Cataloging & Discovery,Data Discovery,Are security and privacy rules applied during automated discovery?,"0,1,2,3,4,5"
Data Cataloging & Discovery,Data Discovery,Are profiling results stored and viewable within the data catalog?,"0,1,2,3,4,5"
Data Cataloging & Discovery,User Collaboration & Crowdsourcing,Is there a review/comment system to provide feedback on data sets?,"0,1,2,3,4,5"
Data Cataloging & Discovery,User Collaboration & Crowdsourcing,"Are there predefined tag categories (e.g., domain, sensitivity, use case)?","0,1,2,3,4,5"
Data Cataloging & Discovery,User Collaboration & Crowdsourcing,Are annotations linked to lineage or quality insights?,"0,1,2,3,4,5"
Data Cataloging & Discovery,User Collaboration & Crowdsourcing,Is there a platform or workspace for users to share data usage best practices?,"0,1,2,3,4,5"
Data Cataloging & Discovery,Search & Semantic Capabilities,"Is the search engine context-aware (understands synonyms, business terms, and intent)?","0,1,2,3,4,5"
Data Cataloging & Discovery,Search & Semantic Capabilities,"Is there a centralized business ontology that maps terms, definitions, and relationships?","0,1,2,3,4,5"
Data Cataloging & Discovery,Search & Semantic Capabilities,Does the platform use ML models to improve data search relevance over time?,"0,1,2,3,4,5"
Data Cataloging & Discovery,Search & Semantic Capabilities,"Are taxonomies (e.g., data domains, categories, hierarchies) standardized and maintained?","0,1,2,3,4,5"
Data Cataloging & Discovery,Inventory & Ingest Metadata,"Are all key data sources (databases, data lakes, BI tools, APIs) included in metadata scans?","0,1,2,3,4,5"
Data Cataloging & Discovery,Inventory & Ingest Metadata,Is metadata ingestion automated and scheduled regularly?,"0,1,2,3,4,5"
Data Cataloging & Discovery,Inventory & Ingest Metadata,"Is technical metadata (e.g., schemas, data types, primary/foreign keys) captured accurately?","0,1,2,3,4,5"
Data Cataloging & Discovery,Inventory & Ingest Metadata,"Are there native connectors available for common platforms (e.g., Snowflake, SAP, Tableau)?","0,1,2,3,4,5"
